Gull,Migration,Date From,Date To,Looking at,Est Leaving or Arrival,Est Date,R given est date,AIC which lower,st error,lower,upper,
Gary,2018 spring,22nd Mar 2018,5th Apr 2018,O/w site 2,Leaving,29th Mar,29th March,27.46944,0.7653061,85,88,
Gary,2018 autumn,22nd July,1st Aug,Breeding Site,Leaving,29th July,29th July,8.024454,0.7653061,207,210,
Eric Flapton,Autumn 2018,18th Oct,27th Oct,Stopover 2,Leaving,22nd Oct,22nd Oct,12.86693,0.7653061,293,296,
Eric Flapton,Spring 2019,13th Mar,29th Mar,Stopover 1,Arrival,20th Mar,20th March,22.84494,0.7653061,76,79,
PC Bobby,Autumn 2017,19th Nov,25th Nov,Stopover 3,Arrival,24th Nov,24th Nov,0.5924206,1.020408,324,328,
Atty,Autumn 2017,26th Sep,9th Oct,Breeding Site,Leaving,3rd Oct,3rd Oct,19.41691,0.7653061,273,276,
Stephen,Autumn 2017,1st Aug,12th Aug,Breeding Site,Leaving,8th Aug ,8th Aug,10.36865,0.7653061,217,220,
Flyback,Autumn 2017,7th Aug,19th Aug,O/w site 1,Arrival,13th Aug,13th Aug,17.85134,0.7653061,222,225,
Flyback,Spring 2018,10th Apr,14th Apr,Stopover 1,Leaving,11th Apr,11th Apr,-0.93358,0.5102041,101,103,
Roger,Autumn 2017,11th Oct,22nd Oct,Stopover 1,Leaving,17th Oct,17th Oct,13.91081,0.7653061,287,290,
Roland,Autumn 2017,2nd Nov,11th Nov,Stopover 1,Leaving,9th Nov,9th Nov,0.4999446,1.530612,307,313,
Stuart,Autumn 2017,11th Sep,22nd Sep,Stopover 2,Arrival,15th Sep,15th Sep,14.07145,0.7653061,256,259,
Stuart,Spring 2018,3rd Apr,12th Apr,O/w site 2,Arrival,10th Apr,10th Apr,2.598203,1.020408,96,100,
Jonathan LC,Autumn 2017,22nd Nov,5th Dec,O/w site,Arrival,29th Nov,29th Nov,19.06384,0.7653061,330,333,
Clyde,Autumn 2017,19th Oct,29th Oct,O/w site,Arrival,22nd Oct,22nd Oct,6.643596,1.020408,293,297,
Archie,Autumn 2017,23rd Nov,7th Dec,Breeding Site,Leaving,30th Nov,30th Nov,17.79158,0.7653061,331,334,
Archie,Spring 2018,16th Apr,26th Apr,Breeding Site,Arrival,19th Apr,19th Apr,8.89092,1.020408,107,111,
Gully MacGullface,Autumn 2017,22nd Aug,31st Aug,Stopover 1,Leaving,25th Aug,25th Aug,16.26802,0.7653061,236,239,
Jose,Spring 2019,7th Apr,21st Apr,Stopover 1,Leaving,14th Apr,14th Apr,22.12317,1.020408,102,106,
Jose,Autumn 2019,10th Nov,20th Nov,O/w site 2,Arrival,13th Nov,13th Nov,10.6134,1.033163,315,319,
Happy,Autumn 2018,27th Nov,21st Dec,O/w site 2,Arrival,14th Dec,14th Dec,21.87788,0.7653061,345,348,
Happy,Spring 2019,13th Mar,28th Mar,Breeding Site,Leaving,20th Mar,20th Mar,28.64913,0.7653061,76,79,
Ollie,Autumn 2018,7th July,16th July,Stopover 1,Arrival,9th July,9th July,4.378196,1.27551,189,194,
Ollie,Spring 2019,24th Mar,8th Apr,O/w site,Leaving,1st Apr,1st Apr,20.3892,0.7653061,88,91,
Pladda,Autumn 2018,3rd July,16th July,Stopover 1,Arrival,10th July,10th July,16.73686,0.7653061,188,191,
Luke Skysquawker,Autumn 2018,23rd Oct,3rd Nov,O/w site,Arrival,27th Oct,27th Oct,11.09208,0.7653061,298,301,
Kingpin,Autumn 2018,19th Sep,27th Sep,O/w site,Arrival,20th Sep,20th September,1.202677,1.020408,263,267,
Rufus,Autumn 2019,8th Sep,17th Sep,O/w site,Arrival,10th Sep,10th Sep,4.978256,1.27551,252,257,
